tool_name	source_file	purpose	input_schema_evidence	output_schema_evidence	collection_scope	read_or_write	sensitivity	target_backend_mapping	migration_action	notes
ens_rag_search	src/mcp/createServer.ts	Tenant-scoped search across ENS collections with freshness controls and reranking.	zod schema	jsonToolResult	ALL/ALLOWLIST	READ_ONLY	HIGH	ALLOWLIST_ADAPTER	ALLOWLIST_ADAPTER	Backend-owned search.
ens_rag_get_document	src/mcp/createServer.ts	Load a document and its chunks by UUID.	zod schema	jsonToolResult	tenant + collection allowlist	READ_ONLY	HIGH	ALLOWLIST_ADAPTER	ALLOWLIST_ADAPTER	Rejects tenant mismatch and collection mismatch.
ens_rag_get_course_context	src/mcp/createServer.ts	Load grounded context for one course by name.	zod schema	jsonToolResult	courses only	READ_ONLY	HIGH	ALLOWLIST_ADAPTER	ALLOWLIST_ADAPTER	Uses title match over ens_courses documents.
ens_rag_ingest_courses	src/mcp/createServer.ts	Refresh ENS courses from ENS API.	zod schema	jsonToolResult	courses only	WRITE_INGESTION	HIGH	ALLOWLIST_ADAPTER	BLOCKED_UNTIL_SECURITY_REVIEW	Depends on ENS_API_URL and ENS_API_KEY.
ens_rag_ingest_institutional	src/mcp/createServer.ts	Refresh institutional Markdown knowledge.	zod schema	jsonToolResult	institutional only	WRITE_INGESTION	HIGH	ALLOWLIST_ADAPTER	BLOCKED_UNTIL_SECURITY_REVIEW	Reads server-side Markdown under data/institutional.
ens_rag_ingest_marketing	src/mcp/createServer.ts	Refresh marketing Markdown knowledge.	zod schema	jsonToolResult	marketing only	WRITE_INGESTION	HIGH	ALLOWLIST_ADAPTER	BLOCKED_UNTIL_SECURITY_REVIEW	Reads server-side Markdown under data/marketing.
ens_rag_ingest_insights	src/mcp/createServer.ts	Refresh insights Markdown knowledge.	zod schema	jsonToolResult	insights only	WRITE_INGESTION	HIGH	ALLOWLIST_ADAPTER	BLOCKED_UNTIL_SECURITY_REVIEW	Reads server-side Markdown under data/insights.
ens_rag_save_insight	src/mcp/createServer.ts	Persist a new analytical insight.	zod schema	jsonToolResult	insights only	WRITE_MEMORY	HIGH	ALLOWLIST_ADAPTER	BLOCKED_UNTIL_SECURITY_REVIEW	Server-side embedding + audit event recording.
ens_rag_save_marketing_memory	src/mcp/createServer.ts	Persist validated marketing memory.	zod schema	jsonToolResult	marketing only	WRITE_MEMORY	HIGH	ALLOWLIST_ADAPTER	BLOCKED_UNTIL_SECURITY_REVIEW	Requires explicit validation before write.
ens_rag_list_collections	src/mcp/createServer.ts	List available ENS collections and counts.	zod schema	jsonToolResult	all collections	READ_ONLY	MEDIUM	ALLOWLIST_ADAPTER	ALLOWLIST_ADAPTER	No write side effects.
ens_rag_audit_recent	src/mcp/createServer.ts	List recent ENS RAG audit events.	zod schema	jsonToolResult	audit logs only	ADMIN_AUDIT	HIGH	ALLOWLIST_ADAPTER	BLOCKED_UNTIL_SECURITY_REVIEW	Admin-only audit inspection.
