{'commit': '3be8c92116fd', 'file': 'docs/audit/external-ens-unified-migration-m6-authenticated-e2e-ui-gate/raw/openapi-paths.txt', 'line': 8, 'secret_sha256_16': '8467f9bd078fa068', 'line_sha256_16': '8467f9bd078fa068'}
{'commit': '8e9809d0f36a', 'file': 'docs/audit/external-ens-unified-migration-m1c-artifact-uat/ENS_UNIFIED_MIGRATION_M1C_ARTIFACT_UAT_20260626.md', 'line': 25, 'secret_sha256_16': '8467f9bd078fa068', 'line_sha256_16': '3e8a5937ee06a875'}
{'commit': '8e9809d0f36a', 'file': 'tests/test_artifacts_contract.py', 'line': 65, 'secret_sha256_16': '8467f9bd078fa068', 'line_sha256_16': 'e6947d2d7a527886'}
{'commit': '8e9809d0f36a', 'file': 'tests/test_artifacts_contract.py', 'line': 76, 'secret_sha256_16': '8467f9bd078fa068', 'line_sha256_16': 'a9b0df6d848b75d9'}
{'commit': '396ae9af2cad', 'file': 'docs/audit/external-ens-unified-migration-m1b-artifact-implementation/ENS_UNIFIED_MIGRATION_M1B_ARTIFACT_IMPLEMENTATION_20260625.md', 'line': 31, 'secret_sha256_16': '8467f9bd078fa068', 'line_sha256_16': 'ec8e8c90b2a43544'}
{'commit': '396ae9af2cad', 'file': 'docs/audit/external-ens-unified-migration-m1b-artifact-implementation/artifact-endpoint-smoke.tsv', 'line': 6, 'secret_sha256_16': '8467f9bd078fa068', 'line_sha256_16': '4639efc63407f607'}
{'commit': '396ae9af2cad', 'file': 'docs/audit/external-ens-unified-migration-m1b-artifact-implementation/ens-unified-migration-m1b-artifact-findings.json', 'line': 15, 'secret_sha256_16': '8467f9bd078fa068', 'line_sha256_16': '99ae7bf448df04cd'}
{'commit': '370ca86efe3d', 'file': 'tests/test_artifacts_contract.py', 'line': 24, 'secret_sha256_16': '8467f9bd078fa068', 'line_sha256_16': 'e6947d2d7a527886'}
{'commit': '370ca86efe3d', 'file': 'tests/test_artifacts_contract.py', 'line': 35, 'secret_sha256_16': '8467f9bd078fa068', 'line_sha256_16': 'a9b0df6d848b75d9'}
{'commit': '370ca86efe3d', 'file': 'tests/test_m1b_artifact_implementation_docs.py', 'line': 22, 'secret_sha256_16': '8467f9bd078fa068', 'line_sha256_16': '7bfcf98361895247'}
{'commit': 'eb716499dc8f', 'file': 'docs/audit/external-ens-unified-migration-m1-artifact-server/ENS_UNIFIED_MIGRATION_M1_ARTIFACT_SERVER_20260625.md', 'line': 34, 'secret_sha256_16': '8467f9bd078fa068', 'line_sha256_16': 'd71e24fb01c65066'}
{'commit': 'eb716499dc8f', 'file': 'docs/audit/external-ens-unified-migration-m1-artifact-server/contracts/artifact-api-contract.md', 'line': 12, 'secret_sha256_16': '8467f9bd078fa068', 'line_sha256_16': 'd71e24fb01c65066'}
{'commit': 'eb716499dc8f', 'file': 'docs/audit/external-ens-unified-migration-m1-artifact-server/ens-unified-migration-m1-artifact-findings.json', 'line': 18, 'secret_sha256_16': '8467f9bd078fa068', 'line_sha256_16': '99ae7bf448df04cd'}
{'commit': 'eb716499dc8f', 'file': 'docs/audit/external-ens-unified-migration-m1-artifact-server/maps/artifact-target-contract.tsv', 'line': 6, 'secret_sha256_16': '8467f9bd078fa068', 'line_sha256_16': 'ec806c8d6e377f88'}
{'commit': 'e7841cb7e15e', 'file': 'tests/test_m1_artifact_contract_docs.py', 'line': 13, 'secret_sha256_16': '8467f9bd078fa068', 'line_sha256_16': '99ae7bf448df04cd'}
