route	viewport	status	redirected_to_login	critical_issue	screenshot	notes
/	mobile-390x844	NO-GO	sim	protected_route_redirected_to_login	mobile-390x844__auth-final__root.png	Final path /login; authenticated content not rendered.
/login	mobile-390x844	GO	nao		mobile-390x844__auth-final__login.png	Final path /login; login route intentionally renders login.
/apoema	mobile-390x844	NO-GO	sim	protected_route_redirected_to_login	mobile-390x844__auth-final__apoema-home.png	Final path /login; authenticated content not rendered.
/apoema/chat	mobile-390x844	NO-GO	sim	protected_route_redirected_to_login	mobile-390x844__auth-final__apoema-chat.png	Final path /login; authenticated content not rendered.
/apoema/assets	mobile-390x844	NO-GO	sim	protected_route_redirected_to_login	mobile-390x844__auth-final__apoema-assets.png	Final path /login; authenticated content not rendered.
/apoema/assets/123	mobile-390x844	NO-GO	sim	protected_route_redirected_to_login	mobile-390x844__auth-final__apoema-asset-detail.png	Final path /login; authenticated content not rendered.
/apoema/audit-logs	mobile-390x844	NO-GO	sim	protected_route_redirected_to_login	mobile-390x844__auth-final__apoema-audit-logs.png	Final path /login; authenticated content not rendered.
/apoema/imports	mobile-390x844	NO-GO	sim	protected_route_redirected_to_login	mobile-390x844__auth-final__apoema-imports.png	Final path /login; authenticated content not rendered.
/apoema/macros	mobile-390x844	NO-GO	sim	protected_route_redirected_to_login	mobile-390x844__auth-final__apoema-macros.png	Final path /login; authenticated content not rendered.
/apoema/stock	mobile-390x844	NO-GO	sim	protected_route_redirected_to_login	mobile-390x844__auth-final__apoema-stock.png	Final path /login; authenticated content not rendered.
/apoema/signatures	mobile-390x844	NO-GO	sim	protected_route_redirected_to_login	mobile-390x844__auth-final__apoema-signatures.png	Final path /login; authenticated content not rendered.
/apoema/assignments	mobile-390x844	NO-GO	sim	protected_route_redirected_to_login	mobile-390x844__auth-final__apoema-assignments.png	Final path /login; authenticated content not rendered.
/apoema/users	mobile-390x844	NO-GO	sim	protected_route_redirected_to_login	mobile-390x844__auth-final__apoema-users.png	Final path /login; authenticated content not rendered.
/apoema/users/123	mobile-390x844	NO-GO	sim	protected_route_redirected_to_login	mobile-390x844__auth-final__apoema-user-detail.png	Final path /login; authenticated content not rendered.
/apoema/settings	mobile-390x844	NO-GO	sim	protected_route_redirected_to_login	mobile-390x844__auth-final__apoema-settings.png	Final path /login; authenticated content not rendered.
/apoema-preview	mobile-390x844	NO-GO	sim	protected_route_redirected_to_login	mobile-390x844__auth-final__apoema-preview.png	Final path /login; authenticated content not rendered.
/apoema-preview/chat	mobile-390x844	NO-GO	sim	protected_route_redirected_to_login	mobile-390x844__auth-final__apoema-preview-chat.png	Final path /login; authenticated content not rendered.
/	tablet-768x1024	NO-GO	sim	protected_route_redirected_to_login	tablet-768x1024__auth-final__root.png	Final path /login; authenticated content not rendered.
/login	tablet-768x1024	GO	nao		tablet-768x1024__auth-final__login.png	Final path /login; login route intentionally renders login.
/apoema	tablet-768x1024	NO-GO	sim	protected_route_redirected_to_login	tablet-768x1024__auth-final__apoema-home.png	Final path /login; authenticated content not rendered.
