target_method	target_path	purpose	request	response	auth	rbac	audit	rate_limit	mcp_tool_mapping	implementation_phase	notes
GET	/api/v1/rag/collections	List available collections and freshness hints.	none	collection list with counts and latest_updated_at	JWT	read role	yes	yes	ens_rag_list_collections	M3A_CONTRACT_ONLY	Backend-owned discovery endpoint.
POST	/api/v1/rag/search	Search ENS knowledge with collection allowlist and filters.	query, collections, intent, limit, freshness_days, include_stale, course_filters, require_evidence	grounded search results with citations	JWT	read role	yes	yes	ens_rag_search	M3A_CONTRACT_ONLY	Frontend must never talk to MCP directly.
GET	/api/v1/rag/documents/{document_id}	Fetch a single document and its chunks.	document_id path param	document DTO + chunks	JWT	read role	yes	yes	ens_rag_get_document	M3A_CONTRACT_ONLY	Server-owned document retrieval only.
GET	/api/v1/rag/course-context/{course_id}	Fetch grounded context for one course.	course_id or course_name path param	course context DTO	JWT	read role	yes	yes	ens_rag_get_course_context	M3A_CONTRACT_ONLY	Use for course-specific prompts and citations.
POST	/api/v1/rag/ingestions/courses	Refresh courses from upstream ENS source.	admin ingest request body	ingestion summary	JWT	admin only	yes	yes	ens_rag_ingest_courses	M3A_CONTRACT_ONLY	Admin-only mutation.
POST	/api/v1/rag/ingestions/institutional	Refresh institutional Markdown knowledge.	admin ingest request body	ingestion summary	JWT	admin only	yes	yes	ens_rag_ingest_institutional	M3A_CONTRACT_ONLY	Admin-only mutation.
POST	/api/v1/rag/ingestions/marketing	Refresh marketing Markdown knowledge.	admin ingest request body	ingestion summary	JWT	admin only	yes	yes	ens_rag_ingest_marketing	M3A_CONTRACT_ONLY	Admin-only mutation.
POST	/api/v1/rag/ingestions/insights	Refresh insights Markdown knowledge.	admin ingest request body	ingestion summary	JWT	admin only	yes	yes	ens_rag_ingest_insights	M3A_CONTRACT_ONLY	Admin-only mutation.
POST	/api/v1/rag/insights	Persist a curated analytical insight.	insight payload DTO	saved insight document DTO	JWT	write role	yes	yes	ens_rag_save_insight	M3A_CONTRACT_ONLY	Write path requires backend audit.
POST	/api/v1/rag/marketing-memory	Persist validated marketing memory.	validated marketing payload DTO	saved marketing document DTO	JWT	write role + explicit approval	yes	yes	ens_rag_save_marketing_memory	M3A_CONTRACT_ONLY	Requires explicit validation note.
GET	/api/v1/rag/audit/recent	Inspect recent RAG audit events.	limit query param	audit event list	JWT	admin only	yes	yes	ens_rag_audit_recent	M3A_CONTRACT_ONLY	Admin-only audit surface.
