path	category	reason	recommended_action	ignore_covered
_migration_proposals/hermesops_selective_migration/docs/hermesops/AGENTS.md	DOC_FALSE_POSITIVE	DOC/agent guidance file with security vocabulary; detector hit is from policy language, not evidence of a secret.	SAFE_FALSE_POSITIVE	no
_migration_proposals/hermesops_selective_migration/docs/hermesops/README.md	DOC_FALSE_POSITIVE	Documentation file in proposal tree; keyword hits are from descriptive guidance.	SAFE_FALSE_POSITIVE	no
_migration_proposals/hermesops_selective_migration/docs/hermesops/SECURITY.md	REPORT_WITH_SENSITIVE_TERMS	Security policy document; contains sensitive terminology by design but no exposed value was reviewed.	SAFE_FALSE_POSITIVE	no
_migration_proposals/hermesops_selective_migration/docs/hermesops/plugins/composio/COMPOSIO_CLI_SPEC.md	CONFIG_TEMPLATE_REVIEW	CLI/spec document in proposal tree; likely mentions tokens/commands as interface text.	MANUAL_REVIEW_REQUIRED	no
_migration_proposals/hermesops_selective_migration/docs/hermesops/plugins/composio/COMPOSIO_PERMISSION_MODEL.md	DOC_FALSE_POSITIVE	Policy/model doc; detector likely matched generic auth terminology.	SAFE_FALSE_POSITIVE	no
_migration_proposals/hermesops_selective_migration/docs/hermesops/plugins/composio/COMPOSIO_SECURITY_POLICY.md	REPORT_WITH_SENSITIVE_TERMS	Security policy document with sensitive vocabulary, but no secret material was exposed in the scan.	SAFE_FALSE_POSITIVE	no
_migration_proposals/hermesops_selective_migration/docs/hermesops/tools/composio_plugin/README.md	DOC_FALSE_POSITIVE	README in proposal tooling tree; keyword hits are explanatory.	SAFE_FALSE_POSITIVE	no
assets/legacy/Laravel/.env.example	CONFIG_TEMPLATE_REVIEW	Legacy env example template; should remain sanitized and is intentionally not a real secret file.	SANITIZE_BEFORE_TRACKING	no
assets/legacy/Laravel/config/cache.php	LEGACY_EXAMPLE	Legacy Laravel configuration file in archived tree; keyword hits stem from config keys.	MANUAL_REVIEW_REQUIRED	no
assets/legacy/Laravel/config/database.php	LEGACY_EXAMPLE	Legacy Laravel configuration file in archived tree; detector matched database credentials vocabulary.	MANUAL_REVIEW_REQUIRED	no
assets/legacy/Laravel/config/filesystems.php	LEGACY_EXAMPLE	Legacy Laravel configuration file in archived tree; detector matched filesystem secret terms.	MANUAL_REVIEW_REQUIRED	no
assets/legacy/Laravel/config/queue.php	LEGACY_EXAMPLE	Legacy Laravel configuration file in archived tree; detector matched queue/config terms.	MANUAL_REVIEW_REQUIRED	no
assets/legacy/Laravel/config/services.php	LEGACY_EXAMPLE	Legacy Laravel configuration file in archived tree; detector matched service credential terminology.	MANUAL_REVIEW_REQUIRED	no
docs/WSL_NATIVE_DOCKER_ENGINE_D1C_REPORT.md	REPORT_WITH_SENSITIVE_TERMS	Operational report file; keywords are from discussion of environment/security, not a raw secret.	SAFE_FALSE_POSITIVE	no
docs/audit/FILE_CLASSIFICATION.csv	REPORT_WITH_SENSITIVE_TERMS	Audit CSV with classification data; terminology triggered the detector but no secret value was opened.	SAFE_FALSE_POSITIVE	no
docs/audit/PROJECT_TREE.txt	REPORT_WITH_SENSITIVE_TERMS	Inventory report with path names; the detector likely matched sensitive path tokens in filenames.	SAFE_FALSE_POSITIVE	no
docs/audit/WORKTREE_BOUNDARY_COMMIT_PLAN_GIT_C1.md	REPORT_WITH_SENSITIVE_TERMS	Planning document with security/release vocabulary; no secret material was reviewed.	SAFE_FALSE_POSITIVE	no
