control	required	current_external_evidence	target_design	status	notes
AUTH_REQUIRED	Yes	No HTTP auth is enforced on /mcp; tools rely on caller context and allowlists.	Backend JWT auth + current-user checks before any RAG endpoint or adapter call.	MISSING	Contract requires auth at the future backend-owned endpoint layer.
RBAC_REQUIRED	Yes	Write tools require admin_mode and adminProfiles in the external service.	FastAPI role gating for search vs ingest vs audit.	PARTIAL	External service has tool-level guards, but backend RBAC still needs to own the final surface.
RATE_LIMIT_REQUIRED	Yes	No explicit MCP rate limiter was found.	Backend rate limit by user/session and by operation class.	MISSING	Search and writes should have separate budgets.
AUDIT_LOG_REQUIRED	Yes	repository.recordQuery and repository.recordAuditEvent are implemented.	Persist backend audit entries for search, document reads, ingests, writes, and denials.	PARTIAL	Good foundation, but backend-owned audit still needs the final API layer.
TOOL_ALLOWLIST	Yes	Only ENS-first tools are registered; legacy multi-tenant tool names are intentionally omitted.	Hardcoded server-side mapping from backend endpoints to MCP tools.	COVERED	Do not expose raw tool invocation to the frontend.
TOOL_INPUT_VALIDATION	Yes	zod schemas are defined for each tool input.	Pydantic/DTO validation on backend request payloads.	COVERED	Input validation is explicit in the external service.
TOOL_OUTPUT_SANITIZATION	Yes	Outputs are wrapped via jsonToolResult/errorToolResult, but no explicit redaction layer is present.	Sanitize/trim errors and document fields before returning to clients.	PARTIAL	Should prevent leaking paths, raw provider responses, or internal IDs beyond contract.
SERVER_SIDE_PROVIDER_KEYS_ONLY	Yes	OPENAI_API_KEY and Supabase service role stay in env; no frontend prefix is used.	Backend-only provider keys with no VITE_* exposure.	COVERED	Key ownership remains server-side.
NO_DIRECT_FRONTEND_MCP_CALL	Yes	Current design keeps Hermes/ENS RAG behind server-owned APIs.	Frontend only calls /api/v1/rag or /api/v1/ai-chat.	COVERED	This is a hard boundary for Apoema.
COLLECTION_ALLOWLIST	Yes	collectionSchema and normalizeCollections enforce the 4 ENS collections.	Backend should reject any collection outside the allowlist.	COVERED	Allowlist is explicit in the external service.
COLLECTION_RBAC	Yes	Write tools are gated to admin profiles; read tools remain tenant-scoped.	Backend should gate mutations by role and endpoint class.	PARTIAL	Need backend enforcement in the future adapter.
DOCUMENT_OWNERSHIP_CHECK	Yes	get_document enforces tenant=ens and collection matches expected value.	Backend should ensure document ownership before returning content.	PARTIAL	Good pattern to preserve.
TENANT_OR_SCOPE_ISOLATION	Yes	TenantPolicyConfig and resolveTenantScope limit operations to the ENS tenant.	Backend should preserve tenant isolation and never widen to arbitrary tenants.	PARTIAL	Current external service hardcodes ENS tenant scope.
INGESTION_ADMIN_ONLY	Yes	ens_rag_ingest_* tools require admin_mode and an admin profile.	Backend should keep ingest endpoints admin-only.	COVERED	This is the correct default.
MEMORY_WRITE_APPROVAL	Yes	ens_rag_save_marketing_memory requires user_validated + validation_note.	Require explicit user approval before persisting memory writes.	COVERED	This is the main guardrail for memory writes.
PROMPT_INJECTION_NOTE	Yes	No explicit prompt-injection annotation or defense layer was found.	Document prompt-injection risk and sanitize retrieval prompts server-side.	NEEDS_IMPLEMENTATION	Important for future chat-bridge integration.
QUERY_SIZE_LIMIT	Yes	Search input is validated; backend should also cap prompt/query size.	Bound query length and payload size before calling MCP tools.	PARTIAL	Current service validates schema but not a dedicated query-length guard.
RESULT_SIZE_LIMIT	Yes	limit defaults exist and backend clamps result counts.	Cap the number of returned docs/chunks and trim large payloads.	PARTIAL	Keep search responses bounded.
TIMEOUTS	Yes	No explicit per-tool timeout configuration was found in the source inventory.	Backend adapter should enforce request and upstream timeouts.	NEEDS_IMPLEMENTATION	Timeouts are required for a safe adapter.
STRUCTURED_ERRORS	Yes	Errors are converted to JSON tool errors, but details may still be text-only.	Return stable error codes/messages from backend routes.	PARTIAL	Keep failures machine-readable.
OBSERVABILITY	Yes	Audit events, query logging, and console logs exist.	Add metrics/traces at the backend adapter boundary.	PARTIAL	Useful for tracing future RAG calls.
