path,is_file,is_dir,suffix,size_bytes,initial_decision,reason
assets/legacy/hero.js,True,False,.js,600107,EXTERNAL_REFERENCE_RISK;LEGACY_ARCHIVE_DEFER,Arquivo texto legado com URL/referencia externa ou bundle minificado; revisar em LEGACY-H3 se houver uso historico/runtime.
assets/legacy/ens-hero-client.css,True,False,.css,2619,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/hero.js.map,True,False,.map,2675163,LEGACY_ARCHIVE_DEFER;IGNORE_CANDIDATE_FUTURE,"Sourcemap legado grande, nao referenciado por runtime atual nesta boundary; candidato a tratamento/ignore futuro."
assets/legacy/Laravel,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/composer.json,True,False,.json,1955,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/app,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/.editorconfig,True,False,,258,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/lang,False,True,,4096,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/phpunit.xml,True,False,.xml,1134,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/README.md,True,False,.md,4631,EXTERNAL_REFERENCE_RISK;LEGACY_ARCHIVE_DEFER,Arquivo texto legado com URL/referencia externa ou bundle minificado; revisar em LEGACY-H3 se houver uso historico/runtime.
assets/legacy/Laravel/package.json,True,False,.json,1041,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/.env.example,True,False,.example,1101,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
assets/legacy/Laravel/.gitattributes,True,False,,186,LEGACY_ARCHIVE_DEFER,Tree legado Laravel/hero importado; nao comprovado como runtime atual; preservar sem commit ate decisao humana.
