id	module	severity	blocker	evidence	from_phase	required_before_implementation	owner_action
ART-01	Artifact	HIGH	upload/storage privado deve ser implementado fora do webroot	M1 artifact-security-controls.tsv: PRIVATE_STORAGE, NO_PUBLIC_DIRECTORY_EXPOSURE	M1	Private storage service with no public directory exposure	Implement a backend-controlled private blob root and reject public-path joins.
ART-02	Artifact	HIGH	signed URL/HMAC and constant-time verification	M1 artifact-security-controls.tsv: SIGNED_DOWNLOAD_URL, HMAC_SIGNATURE, CONSTANT_TIME_SIGNATURE_COMPARE	M1	Signed download endpoint and verifier	Mint short-lived HMAC tokens and verify with timing-safe comparison.
ART-03	Artifact	MEDIUM	RBAC por módulo para upload/delete and management routes	M1 artifact-security-controls.tsv: RBAC_REQUIRED PARTIAL	M1	Role-aware policy in backend routes	Preserve current auth and add explicit role checks.
ART-04	Artifact	MEDIUM	audit log obrigatório para upload/link/download/delete	M1 artifact-security-controls.tsv: AUDIT_LOG_REQUIRED MISSING	M1	Audit sink and event emission	Record all mutate and download events before rollout.
ART-05	Artifact	MEDIUM	rate limit para upload e mint de link	M1 artifact-security-controls.tsv: RATE_LIMIT_REQUIRED MISSING	M1	Backend rate limiter	Throttle upload and access-link minting.
CHAT-01	Chat Bridge	HIGH	provider keys server-side and no direct frontend provider calls	M2 security controls: SERVER_SIDE_PROVIDER_KEYS_ONLY, NO_DIRECT_FRONTEND_PROVIDER_CALL	M2	Backend-owned provider router	Keep Hermes/provider calls out of the frontend.
CHAT-02	Chat Bridge	HIGH	stream cancellation and timeout controls	M2 security controls: STREAM_CANCELLATION, STREAM_TIMEOUT MISSING	M2	Cancel route and bounded SSE runtime	Implement safe cancel and fail-safe timeout handling.
CHAT-03	Chat Bridge	MEDIUM	tool allowlist and prompt injection handling	M2 security controls: TOOL_ALLOWLIST, PROMPT_INJECTION_NOTE MISSING	M2	Approved tool mapping and untrusted attachment labeling	Reject unapproved tools and keep attachment text clearly untrusted.
RAG-01	RAG MCP	HIGH	tool allowlist and collection allowlist must stay backend-owned	M3 security controls: TOOL_ALLOWLIST, COLLECTION_ALLOWLIST	M3	Backend adapter with allowlisted tool mapping	Never expose raw MCP invocation to the frontend.
RAG-02	RAG MCP	HIGH	server-side secrets only for provider/vector store	M3 security controls: SERVER_SIDE_PROVIDER_KEYS_ONLY	M3	Backend env / credential store only	Keep embedding and store keys off the UI.
RAG-03	RAG MCP	MEDIUM	audit, query limits and explicit timeouts	M3 security controls: AUDIT_LOG_REQUIRED PARTIAL, TIMEOUTS NEEDS_IMPLEMENTATION	M3	Backend-owned request budgets	Bound query size, result size and upstream timeouts.
DESIGN-01	Designer API	HIGH	job ownership, prompt validation and redaction	M4 security controls: JOB_OWNERSHIP_CHECK PARTIAL, PROMPT_OUTPUT_REDACTION MISSING	M4	Owner checks, schema validation, redaction layer	Protect job mutations and sanitize errors before exposing responses.
DESIGN-02	Designer API	HIGH	private output storage and safe download headers	M4 security controls: PRIVATE_OUTPUT_STORAGE MISSING, SAFE_DOWNLOAD MISSING	M4	Artifact-backed download flow	Replace public /files behavior with authenticated artifact downloads.
DESIGN-03	Designer API	MEDIUM	provider timeout, cost control and content policy gates	M4 security controls: PROVIDER_TIMEOUT PARTIAL, COST_CONTROL_NOTE PARTIAL, CONTENT_POLICY_GATE PARTIAL	M4	Server-side budgets and policy checks	Avoid opening provider-backed generation before backend gates are in place.
