route	viewport	status	redirected_to_login	critical_issue	screenshot	notes
/	mobile-390x844	NOT_TESTED	true	sessão segura indisponível; redirecionado para /login	mobile-390x844__noauth__root.png	Protegida sem auth segura; a tela final exibida foi o login.
/login	mobile-390x844	GO	false		mobile-390x844__noauth__login.png	Login renderizado sem sessão segura; visual baseline OK.
/apoema	mobile-390x844	NOT_TESTED	true	sessão segura indisponível; redirecionado para /login	mobile-390x844__noauth__apoema-home.png	Protegida sem auth segura; a tela final exibida foi o login.
/apoema/chat	mobile-390x844	NOT_TESTED	true	sessão segura indisponível; redirecionado para /login	mobile-390x844__noauth__apoema-chat.png	Protegida sem auth segura; a tela final exibida foi o login.
/apoema/assets	mobile-390x844	NOT_TESTED	true	sessão segura indisponível; redirecionado para /login	mobile-390x844__noauth__apoema-assets.png	Protegida sem auth segura; a tela final exibida foi o login.
/apoema/assets/123	mobile-390x844	NOT_TESTED	true	sessão segura indisponível; redirecionado para /login	mobile-390x844__noauth__apoema-asset-detail.png	Protegida sem auth segura; a tela final exibida foi o login.
/apoema/audit-logs	mobile-390x844	NOT_TESTED	true	sessão segura indisponível; redirecionado para /login	mobile-390x844__noauth__apoema-audit-logs.png	Protegida sem auth segura; a tela final exibida foi o login.
/apoema/imports	mobile-390x844	NOT_TESTED	true	sessão segura indisponível; redirecionado para /login	mobile-390x844__noauth__apoema-imports.png	Protegida sem auth segura; a tela final exibida foi o login.
/apoema/macros	mobile-390x844	NOT_TESTED	true	sessão segura indisponível; redirecionado para /login	mobile-390x844__noauth__apoema-macros.png	Protegida sem auth segura; a tela final exibida foi o login.
/apoema/stock	mobile-390x844	NOT_TESTED	true	sessão segura indisponível; redirecionado para /login	mobile-390x844__noauth__apoema-stock.png	Protegida sem auth segura; a tela final exibida foi o login.
/apoema/signatures	mobile-390x844	NOT_TESTED	true	sessão segura indisponível; redirecionado para /login	mobile-390x844__noauth__apoema-signatures.png	Protegida sem auth segura; a tela final exibida foi o login.
/apoema/assignments	mobile-390x844	NOT_TESTED	true	sessão segura indisponível; redirecionado para /login	mobile-390x844__noauth__apoema-assignments.png	Protegida sem auth segura; a tela final exibida foi o login.
/apoema/users	mobile-390x844	NOT_TESTED	true	sessão segura indisponível; redirecionado para /login	mobile-390x844__noauth__apoema-users.png	Protegida sem auth segura; a tela final exibida foi o login.
/apoema/users/123	mobile-390x844	NOT_TESTED	true	sessão segura indisponível; redirecionado para /login	mobile-390x844__noauth__apoema-user-detail.png	Protegida sem auth segura; a tela final exibida foi o login.
/apoema/settings	mobile-390x844	NOT_TESTED	true	sessão segura indisponível; redirecionado para /login	mobile-390x844__noauth__apoema-settings.png	Protegida sem auth segura; a tela final exibida foi o login.
/apoema-preview	mobile-390x844	NOT_TESTED	true	sessão segura indisponível; redirecionado para /login	mobile-390x844__noauth__apoema-preview.png	Protegida sem auth segura; a tela final exibida foi o login.
