template_or_option	source_file	purpose	allowed_values	target_mapping	auth_or_role_needed	migration_action	notes
modo_geracao	api/app.py	Escolha entre peça única e enxoval	peca_unica|enxoval	GenerationMode enum	AUTH_REQUIRED	ADOPT_CONTRACT	Frontend deve consumir opções do backend; não hardcode.
canal	execution/select_template.py; templates_library/*	Chave da biblioteca de templates	01_feed_instagram;02_story_instagram;03_banner_interno_desktop;04_banner_interno_mobile;05_AIDA_whatsapp;05_whatsapp;08_topo_email	template_library channel	AUTH_REQUIRED	ADOPT_CONTRACT	Em peca_unica é obrigatório; em enxoval é derivado internamente.
kv	execution/select_template.py; templates_library/*	Key visual/variante do canal	graduacao;imersoes;institucional;pos;qualificacoes;tudo-sobre-seguros	template_library kv	AUTH_REQUIRED	ADOPT_CONTRACT	Allowlist futura deve ser server-owned.
box2	directives/banner_generation.md; api/app.py	Selo opcional do banner	string vazia ou texto validado	optional badge text	AUTH_REQUIRED	ADOPT_CONTRACT	Permite vazio; template pode remover o elemento.
persona_image	api/app.py	Upload opcional de persona	.png;.jpg;.jpeg	UploadFile -> temp storage	AUTH_REQUIRED	ADAPT_CONTRACT	Somente whitelist de imagem; sem provider exposure.
x-user-id	api/app.py	Ownership hint para jobs/ajustes	UUID opcional no externo; obrigatório no target	job owner id	AUTH_REQUIRED	ADAPT_CONTRACT	No target deve vir da sessão/auth, não do cliente solto.
01_feed_instagram/graduacao	01_feed_instagram/graduacao/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=context_json_padrao.json;step1_planner_payload.json;step2_planner_payload.json;step3_planner_payload.json	01_feed_instagram/graduacao	DESIGNER_ADMIN_OR_BACKEND	ADOPT_CONTRACT	planner_payloads=yes
01_feed_instagram/institucional	01_feed_instagram/institucional/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=-	01_feed_instagram/institucional	DESIGNER_ADMIN_OR_BACKEND	DOCS_ONLY	planner_payloads=no
01_feed_instagram/pos	01_feed_instagram/pos/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=context_json_padrao.json;step1_planner_payload.json;step2_planner_payload.json;step3_planner_payload.json	01_feed_instagram/pos	DESIGNER_ADMIN_OR_BACKEND	ADOPT_CONTRACT	planner_payloads=yes
01_feed_instagram/qualificacoes	01_feed_instagram/qualificacoes/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=-	01_feed_instagram/qualificacoes	DESIGNER_ADMIN_OR_BACKEND	DOCS_ONLY	planner_payloads=no
01_feed_instagram/tudo-sobre-seguros	01_feed_instagram/tudo-sobre-seguros/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=context_json_padrao.json;step1_planner_payload.json;step2_planner_payload.json;step3_planner_payload.json	01_feed_instagram/tudo-sobre-seguros	DESIGNER_ADMIN_OR_BACKEND	ADOPT_CONTRACT	planner_payloads=yes
02_story_instagram/graduacao	02_story_instagram/graduacao/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=context_json_padrao.json;step1_planner_payload.json;step2_planner_payload.json;step3_planner_payload.json	02_story_instagram/graduacao	DESIGNER_ADMIN_OR_BACKEND	ADOPT_CONTRACT	planner_payloads=yes
02_story_instagram/institucional	02_story_instagram/institucional/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=-	02_story_instagram/institucional	DESIGNER_ADMIN_OR_BACKEND	DOCS_ONLY	planner_payloads=no
02_story_instagram/pos	02_story_instagram/pos/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=context_json_padrao.json;step1_planner_payload.json;step2_planner_payload.json;step3_planner_payload.json	02_story_instagram/pos	DESIGNER_ADMIN_OR_BACKEND	ADOPT_CONTRACT	planner_payloads=yes
02_story_instagram/qualificacoes	02_story_instagram/qualificacoes/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=-	02_story_instagram/qualificacoes	DESIGNER_ADMIN_OR_BACKEND	DOCS_ONLY	planner_payloads=no
03_banner_interno_desktop/graduacao	03_banner_interno_desktop/graduacao/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=context_json_padrao.json;step1_planner_payload.json;step2_planner_payload.json;step3_planner_payload.json	03_banner_interno_desktop/graduacao	DESIGNER_ADMIN_OR_BACKEND	ADOPT_CONTRACT	planner_payloads=yes
03_banner_interno_desktop/institucional	03_banner_interno_desktop/institucional/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=-	08_topo_email/institucional	DESIGNER_ADMIN_OR_BACKEND	DOCS_ONLY	planner_payloads=no; template_id!=path(08_topo_email/institucional)
03_banner_interno_desktop/pos	03_banner_interno_desktop/pos/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=context_json_padrao.json;step1_planner_payload.json;step2_planner_payload.json;step3_planner_payload.json	03_banner_interno_desktop/pos	DESIGNER_ADMIN_OR_BACKEND	ADOPT_CONTRACT	planner_payloads=yes
03_banner_interno_desktop/qualificacoes	03_banner_interno_desktop/qualificacoes/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=-	08_topo_email/qualificacoes	DESIGNER_ADMIN_OR_BACKEND	DOCS_ONLY	planner_payloads=no; template_id!=path(08_topo_email/qualificacoes)
04_banner_interno_mobile/graduacao	04_banner_interno_mobile/graduacao/template_context.json	Template base para edição iterativa	images=Template (final).png; planner=context_json_padrao.json;step1_planner_payload.json;step2_planner_payload.json;step3_planner_payload.json	04_banner_interno_mobile/graduacao	DESIGNER_ADMIN_OR_BACKEND	ADOPT_CONTRACT	planner_payloads=yes
