path	component	route_removed_in_phase_5b	apoema_equivalent	references_found	removal_decision	risk	notes
frontend/itam-platform/src/pages/AiChatPage.tsx	legacy page component	YES	frontend/itam-platform/src/apoema/pages/ChatPage.tsx	tests/test_ai_chat_hardening.py	REMOVE_NOW	medium	Safety copy moved to Apoema Chat; legacy file no longer imported.
frontend/itam-platform/src/pages/AssetDetailsPage.tsx	legacy page component	YES	frontend/itam-platform/src/apoema/pages/AssetDetailPage.tsx	tests/test_apoema_assets_parity_contract.py	REMOVE_NOW	low	Route alias removed in phase 5B and Apoema detail is canonical.
frontend/itam-platform/src/pages/AssetsPage.tsx	legacy page component	YES	frontend/itam-platform/src/apoema/pages/AssetsPage.tsx	tests/test_apoema_assets_parity_contract.py	REMOVE_NOW	low	Route alias removed in phase 5B and Apoema assets is canonical.
frontend/itam-platform/src/pages/AssignmentsPage.tsx	legacy page component	YES	frontend/itam-platform/src/apoema/pages/AssignmentsPage.tsx	tests/test_apoema_assignments_parity_contract.py	REMOVE_NOW	low	Route alias removed in phase 5B and Apoema movements is canonical.
frontend/itam-platform/src/pages/AuditLogsPage.tsx	legacy page component	YES	frontend/itam-platform/src/apoema/pages/AuditLogsPage.tsx	tests/test_apoema_audit_logs_parity_contract.py	REMOVE_NOW	low	Route alias removed in phase 5B and Apoema audit logs is canonical.
frontend/itam-platform/src/pages/DashboardPage.tsx	legacy page component	N/A	frontend/itam-platform/src/apoema/pages/DashboardPage.tsx	tests/test_apoema_hermes_redesign_contract.py	REMOVE_NOW	low	Legacy dashboard is no longer routed or imported.
frontend/itam-platform/src/pages/ImportsPage.tsx	legacy page component	YES	frontend/itam-platform/src/apoema/pages/ImportsPage.tsx	tests/test_apoema_imports_parity_contract.py	REMOVE_NOW	low	Route alias removed in phase 5B and Apoema imports is canonical.
frontend/itam-platform/src/pages/MacrosPage.tsx	legacy page component	YES	frontend/itam-platform/src/apoema/pages/MacrosPage.tsx	tests/test_apoema_macros_parity_contract.py	REMOVE_NOW	low	Route alias removed in phase 5B and Apoema macros is canonical.
frontend/itam-platform/src/pages/SettingsPage.tsx	legacy page component	YES	frontend/itam-platform/src/apoema/pages/SettingsPage.tsx	tests/test_apoema_settings_parity_contract.py	REMOVE_NOW	low	Route alias removed in phase 5B and Apoema settings is canonical.
frontend/itam-platform/src/pages/SignaturesPage.tsx	legacy page component	YES	frontend/itam-platform/src/apoema/pages/SignaturesPage.tsx	tests/test_apoema_signatures_parity_contract.py	REMOVE_NOW	low	Route alias removed in phase 5B and Apoema signatures is canonical.
frontend/itam-platform/src/pages/StockPage.tsx	legacy page component	YES	frontend/itam-platform/src/apoema/pages/StockPage.tsx	tests/test_apoema_stock_parity_contract.py	REMOVE_NOW	low	Route alias removed in phase 5B and Apoema stock is canonical.
frontend/itam-platform/src/pages/UserDetailsPage.tsx	legacy page component	YES	frontend/itam-platform/src/apoema/pages/UserDetailsPage.tsx	tests/test_apoema_users_parity_contract.py	REMOVE_NOW	low	Route alias removed in phase 5B and Apoema user detail is canonical.
frontend/itam-platform/src/pages/UsersPage.tsx	legacy page component	YES	frontend/itam-platform/src/apoema/pages/UsersPage.tsx	tests/test_apoema_users_parity_contract.py	REMOVE_NOW	low	Route alias removed in phase 5B and Apoema users is canonical.
