viewport	route	document_status	final_path	redirected_to_login	blank	label_ok	no_fatal_console	no_critical_request_failed	no_horizontal_overflow	screenshot
390x844	/apoema	200	/apoema/dashboard	false	false	true	true	true	true	390x844__apoema.png
390x844	/apoema/artifacts	200	/apoema/artifacts	false	false	true	true	true	true	390x844__apoema_artifacts.png
390x844	/apoema/rag	200	/apoema/rag	false	false	true	true	true	true	390x844__apoema_rag.png
390x844	/apoema/designer	200	/apoema/designer	false	false	true	true	true	true	390x844__apoema_designer.png
390x844	/apoema/chat	200	/apoema/chat	false	false	true	true	true	true	390x844__apoema_chat.png
390x844	/apoema/settings	200	/apoema/settings	false	false	true	true	true	true	390x844__apoema_settings.png
390x844	/apoema-preview/artifacts	200	/apoema-preview/artifacts	false	false	true	true	true	true	390x844__apoema_preview_artifacts.png
390x844	/apoema-preview/rag	200	/apoema-preview/rag	false	false	true	true	true	true	390x844__apoema_preview_rag.png
390x844	/apoema-preview/designer	200	/apoema-preview/designer	false	false	true	true	true	true	390x844__apoema_preview_designer.png
768x1024	/apoema	200	/apoema/dashboard	false	false	true	true	true	true	768x1024__apoema.png
768x1024	/apoema/artifacts	200	/apoema/artifacts	false	false	true	true	true	true	768x1024__apoema_artifacts.png
768x1024	/apoema/rag	200	/apoema/rag	false	false	true	true	true	true	768x1024__apoema_rag.png
768x1024	/apoema/designer	200	/apoema/designer	false	false	true	true	true	true	768x1024__apoema_designer.png
768x1024	/apoema/chat	200	/apoema/chat	false	false	true	true	true	true	768x1024__apoema_chat.png
768x1024	/apoema/settings	200	/apoema/settings	false	false	true	true	true	true	768x1024__apoema_settings.png
768x1024	/apoema-preview/artifacts	200	/apoema-preview/artifacts	false	false	true	true	true	true	768x1024__apoema_preview_artifacts.png
768x1024	/apoema-preview/rag	200	/apoema-preview/rag	false	false	true	true	true	true	768x1024__apoema_preview_rag.png
768x1024	/apoema-preview/designer	200	/apoema-preview/designer	false	false	true	true	true	true	768x1024__apoema_preview_designer.png
1366x768	/apoema	200	/apoema/dashboard	false	false	true	true	true	true	1366x768__apoema.png
1366x768	/apoema/artifacts	200	/apoema/artifacts	false	false	true	true	true	true	1366x768__apoema_artifacts.png
1366x768	/apoema/rag	200	/apoema/rag	false	false	true	true	true	true	1366x768__apoema_rag.png
1366x768	/apoema/designer	200	/apoema/designer	false	false	true	true	true	true	1366x768__apoema_designer.png
1366x768	/apoema/chat	200	/apoema/chat	false	false	true	true	true	true	1366x768__apoema_chat.png
1366x768	/apoema/settings	200	/apoema/settings	false	false	true	true	true	true	1366x768__apoema_settings.png
1366x768	/apoema-preview/artifacts	200	/apoema-preview/artifacts	false	false	true	true	true	true	1366x768__apoema_preview_artifacts.png
1366x768	/apoema-preview/rag	200	/apoema-preview/rag	false	false	true	true	true	true	1366x768__apoema_preview_rag.png
1366x768	/apoema-preview/designer	200	/apoema-preview/designer	false	false	true	true	true	true	1366x768__apoema_preview_designer.png
1440x900	/apoema	200	/apoema/dashboard	false	false	true	true	true	true	1440x900__apoema.png
1440x900	/apoema/artifacts	200	/apoema/artifacts	false	false	true	true	true	true	1440x900__apoema_artifacts.png
1440x900	/apoema/rag	200	/apoema/rag	false	false	true	true	true	true	1440x900__apoema_rag.png
1440x900	/apoema/designer	200	/apoema/designer	false	false	true	true	true	true	1440x900__apoema_designer.png
1440x900	/apoema/chat	200	/apoema/chat	false	false	true	true	true	true	1440x900__apoema_chat.png
1440x900	/apoema/settings	200	/apoema/settings	false	false	true	true	true	true	1440x900__apoema_settings.png
1440x900	/apoema-preview/artifacts	200	/apoema-preview/artifacts	false	false	true	true	true	true	1440x900__apoema_preview_artifacts.png
1440x900	/apoema-preview/rag	200	/apoema-preview/rag	false	false	true	true	true	true	1440x900__apoema_preview_rag.png
1440x900	/apoema-preview/designer	200	/apoema-preview/designer	false	false	true	true	true	true	1440x900__apoema_preview_designer.png
1920x1080	/apoema	200	/apoema/dashboard	false	false	true	true	true	true	1920x1080__apoema.png
1920x1080	/apoema/artifacts	200	/apoema/artifacts	false	false	true	true	true	true	1920x1080__apoema_artifacts.png
1920x1080	/apoema/rag	200	/apoema/rag	false	false	true	true	true	true	1920x1080__apoema_rag.png
1920x1080	/apoema/designer	200	/apoema/designer	false	false	true	true	true	true	1920x1080__apoema_designer.png
1920x1080	/apoema/chat	200	/apoema/chat	false	false	true	true	true	true	1920x1080__apoema_chat.png
1920x1080	/apoema/settings	200	/apoema/settings	false	false	true	true	true	true	1920x1080__apoema_settings.png
1920x1080	/apoema-preview/artifacts	200	/apoema-preview/artifacts	false	false	true	true	true	true	1920x1080__apoema_preview_artifacts.png
1920x1080	/apoema-preview/rag	200	/apoema-preview/rag	false	false	true	true	true	true	1920x1080__apoema_preview_rag.png
1920x1080	/apoema-preview/designer	200	/apoema-preview/designer	false	false	true	true	true	true	1920x1080__apoema_preview_designer.png
